,Address,Price,Beds,Baths,Half Baths,Area
0,               15851 Stevens Canyon Rd                        Cupertino CA 95014         ,"$215,000",,,,
1,               10391 Castine Ave                        Cupertino CA 95014         ,"$2,798,000",,2 baths         ,,"1,890 sq. ft         "
2,               10403 Denison Ave                        Cupertino CA 95014         ,"$2,399,000",,2 baths         ,,"1,408 sq. ft         "
3,               21590 Grand Ave                        Cupertino CA 95014         ,"$1,500,000",,2 baths         ,,"1,692 sq. ft         "
4,               10439 Mary Ave                        Cupertino CA 95014         ,"$1,236,788",,2 baths         ,1 half bath         ,"1,216 sq. ft         "
5,               20684 Celeste Cir                        Cupertino CA 95014         ,"$799,000",,1 bath         ,,871 sq. ft         
6,               10163 Danube Dr                        Cupertino CA 95014         ,"$1,088,000",,2 baths         ,,"1,154 sq. ft         "
7,               23800 Amapolo Ct V6                        Cupertino CA 95014         ,"$1,800,000",,2 baths         ,,"1,303 sq. ft         "
8,               10280 Park Green Lane #828                        Cupertino CA 95014         ,"$1,850,000",,3 baths         ,1 half bath         ,"2,058 sq. ft         "
9,               19161 Tilson AVE                        Cupertino CA 95014         ,"$5,198,000",,4 baths         ,1 half bath         ,"4,138 sq. ft         "
10,               1322-1323 Flower CT                        Cupertino CA 95014         ,"$4,299,888",,6 baths         ,,"3,083 sq. ft         "
11,               10110 Westminster CT                        Cupertino CA 95014         ,"$3,899,888",,3 baths         ,1 half bath         ,"3,217 sq. ft         "
12,               13119 Montebello RD                        Cupertino CA 95014         ,"$3,500,000",,2 baths         ,,"1,100 sq. ft         "
13,               13360 Montebello RD                        Cupertino CA 95014         ,"$3,295,000",,4 baths         ,,"3,196 sq. ft         "
14,               22047 Clearcreek CT                        Cupertino CA 95014         ,"$2,935,000",,2 baths         ,,"1,661 sq. ft         "
15,               931 Miller AVE                        Cupertino CA 95014         ,"$2,499,000",,,,"2,046 sq. ft         "
16,               931 Miller AVE                        Cupertino CA 95014         ,"$2,499,000",,4 baths         ,,"2,046 sq. ft         "
17,               20602 Murano CIR                        Cupertino CA 95014         ,"$2,098,000",,4 baths         ,,"2,036 sq. ft         "
18,               22040 Regnart RD                        Cupertino CA 95014         ,"$1,750,000",,,,
19,               11041 Stevens Canyon RD                        Cupertino CA 95014         ,"$1,699,999",,1 bath         ,,900 sq. ft         
